"index","listing_id","price","nbhood_full","host_name","last_review","description","room_type"
"1","2595","225 dollars","Manhattan, Midtown","Jennifer","May 21 2019","Skylit Midtown Castle","Entire home/apt"
"2","3831","89 dollars","Brooklyn, Clinton Hill","LisaRoxanne","July 05 2019","Cozy Entire Floor of Brownstone","Entire home/apt"
"3","5099","200 dollars","Manhattan, Murray Hill","Chris","June 22 2019","Large Cozy 1 BR Apartment In Midtown East","Entire home/apt"
"4","5178","79 dollars","Manhattan, Hell's Kitchen","Shunichi","June 24 2019","Large Furnished Room Near B'way","private room"
"5","5238","150 dollars","Manhattan, Chinatown","Ben","June 09 2019","Cute & Cozy Lower East Side 1 bdrm","Entire home/apt"
"6","5295","135 dollars","Manhattan, Upper West Side","Lena","June 22 2019","Beautiful 1br on Upper West Side","Entire home/apt"
"7","5441","85 dollars","Manhattan, Hell's Kitchen","Kate","June 23 2019","Central Manhattan/near Broadway","Private room"
"8","5803","89 dollars","Brooklyn, South Slope","Laurie","June 24 2019","Lovely Room 1, Garden, Best Area, Legal rental","Private room"
"9","6021","85 dollars","Manhattan, Upper West Side","Claudio","July 05 2019","Wonderful Guest Bedroom in Manhattan for SINGLES","Private room"
"10","6848","140 dollars","Brooklyn, Williamsburg","Allen & Irina","June 29 2019","Only 2 stops to Manhattan studio","entire home/apt"
"11","7097","215 dollars","Brooklyn, Fort Greene","Jane","June 28 2019","Perfect for Your Parents + Garden","Entire home/apt"
"12","7322","140 dollars","Manhattan, Chelsea","Doti","July 01 2019","Chelsea Perfect","Private room"
"13","7726","99 dollars","Brooklyn, Crown Heights","Adam And Charity","June 22 2019","Hip Historic Brownstone Apartment with Backyard","Entire home/apt"
"14","8024","130 dollars","Brooklyn, Park Slope","Lisel","July 01 2019","CBG CtyBGd HelpsHaiti rm#1:1-4","PRIVATE ROOM"
"15","8025","80 dollars","Brooklyn, Park Slope","Lisel","January 01 2019","CBG Helps Haiti Room#2.5","PRIVATE ROOM"
"16","8110","110 dollars","Brooklyn, Park Slope","Lisel","July 02 2019","CBG Helps Haiti Rm #2","Private room"
"17","8490","120 dollars","Brooklyn, Bedford-Stuyvesant","Nathalie","June 19 2019","MAISON DES SIRENES1,bohemian apartment","Entire home/apt"
"18","8505","60 dollars","Brooklyn, Windsor Terrace","Gregory","June 23 2019","Sunny Bedroom Across Prospect Park","Private room"
"19","9518","44 dollars","Manhattan, Inwood","Shon","June 15 2019","SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM","PRIVATE ROOM"
"20","9657","180 dollars","Manhattan, East Village","Dana","April 19 2019","Modern 1 BR / NYC / EAST VILLAGE","entire home/apt"
"21","9668","50 dollars","Manhattan, Harlem","Ssameer Or Trip","June 01 2019","front room/double bed","PRIVATE ROOM"
"22","9704","52 dollars","Manhattan, Harlem","Teri","June 14 2019","Spacious 1 bedroom in luxe building","Private room"
"23","9782","55 dollars","Brooklyn, Greenpoint","Andrea","June 15 2019","Loft in Williamsburg Area w/ Roof","Private room"
"24","9783","50 dollars","Manhattan, Harlem","Ssameer Or Trip","July 01 2019","back room/bunk beds","Private room"
"25","10452","70 dollars","Brooklyn, Bedford-Stuyvesant","Angela","May 12 2019","Large B&B Style rooms","Private room"
"26","10962","89 dollars","Brooklyn, South Slope","Laurie","June 21 2019","Lovely room 2 & garden; Best area, Legal rental","Private room"
"27","11708","85 dollars","Brooklyn, Bushwick","Tyrome","June 22 2019","Cute apt in artist's home","Entire home/apt"
"28","12048","40 dollars","Manhattan, Lower East Side","Ben","July 05 2019","LowerEastSide apt share shortterm 1","shared room"
"29","12192","68 dollars","Manhattan, East Village","Edward","June 21 2019","ENJOY Downtown NYC!","PRIVATE ROOM"
"30","12299","120 dollars","Brooklyn, South Slope","Abdul","May 27 2019","Beautiful Sunny Park Slope Brooklyn","Entire home/apt"
"31","12318","135 dollars","Manhattan, Upper West Side","Cyn","June 16 2019","West Side Retreat","Private room"
"32","12343","150 dollars","Manhattan, Harlem","Earl","June 13 2019","BEST BET IN HARLEM","Entire home/apt"
"33","12627","150 dollars","Brooklyn, Prospect-Lefferts Gardens","Rana","June 05 2019","Entire apartment in central Brooklyn neighborhood.","Entire home/apt"
"34","12937","130 dollars","Queens, Long Island City","Orestes","July 01 2019","1 Stop fr. Manhattan! Private Suite,Landmark Block","private room"
"35","12940","110 dollars","Brooklyn, Bedford-Stuyvesant","Adreinne","May 25 2019","Charming Brownstone 3 - Near PRATT","Entire home/apt"
"36","13394","80 dollars","Brooklyn, Fort Greene","Alexander","June 17 2019","Fort Greene brownstone","Private room"
"37","13808","80 dollars","Brooklyn, Bedford-Stuyvesant","JT And Tiziana","June 16 2019","Blue Room for 2 in Brownstone for $1350 monthly","Private room"
"38","14287","151 dollars","Manhattan, Upper West Side","Joya","July 07 2019","Cozy 1BD on Central Park West in New York City","Entire home/apt"
"39","14290","228 dollars","Brooklyn, Williamsburg","James","May 17 2019","* ORIGINAL BROOKLYN LOFT *","entire home/apt"
"40","14314","144 dollars","Brooklyn, Greenpoint","Jeanne","June 29 2019","Greenpoint Place...Has It All!","ENTIRE HOME/APT"
"41","14322","200 dollars","Manhattan, Kips Bay","Francesca","March 25 2019","Beautiful Apartment in Manhattan!!!","Entire home/apt"
"42","14377","150 dollars","Brooklyn, Williamsburg","Joanna","June 22 2019","Williamsburg 1 bedroom Apartment","Entire home/apt"
"43","14991","110 dollars","Manhattan, Lower East Side","Bianca","May 18 2019","Great Location, Manhattan Bedroom!","PRIVATE ROOM"
"44","15220","69 dollars","Manhattan, Hell's Kitchen","Luiz","June 09 2019","Best Location in NYC! TIMES SQUARE!","private room"
"45","15338","49 dollars","Brooklyn, Greenpoint","Andrea","June 04 2019","Room in Greenpoint Loft w/ Roof","Private room"
"46","15341","180 dollars","Manhattan, SoHo","Ted","June 29 2019","**Bright Nolita Apt w Doorman/Elevators/Gym**","Entire home/apt"
"47","15385","80 dollars","Brooklyn, Williamsburg","Cristina","June 30 2019","Very, very cozy place","Private room"
"48","15711","250 dollars","Manhattan, Upper East Side","D","March 30 2019","2 bedroom - Upper East Side-great for kids","ENTIRE HOME/APT"
"49","16326","200 dollars","Brooklyn, Prospect Heights","Dimitri","January 26 2019","Comfortable 4-bedroom apt in family house.","Entire home/apt"
"50","16421","52 dollars","Manhattan, Hell's Kitchen","Mark","May 16 2019","Your Heaven in Hells Kitchen","Private room"
"51","16580","80 dollars","Manhattan, East Village","Reka","July 01 2019","Sunny, Modern room in East Village!","Private room"
"52","16595","275 dollars","Brooklyn, Williamsburg","Daniel","June 23 2019","*HAVEN LOFT - Entire Floor - Six Windows - Bricks*","Entire home/apt"
"53","16821","99 dollars","Manhattan, East Village","Casey","June 21 2019","Large Room in Amazing East Village Apt","Private room"
"54","16974","225 dollars","Manhattan, East Harlem","Robin","June 23 2019","SpaHa Loft: Enormous and Bright","Entire home/apt"
"55","17092","51 dollars","Manhattan, Hell's Kitchen","Enzo","June 01 2019","Cool Room in Hell's Kitchen","Private room"
"56","17693","65 dollars","Manhattan, Washington Heights","Tye And Etienne","June 18 2019","HARLEM, NEW YORK WELCOMES YOU!!","Private room"
"57","17747","105 dollars","Brooklyn, Clinton Hill","George","June 26 2019","BLUE TRIM GUEST HOUSE","Private room"
"58","18127","190 dollars","Manhattan, East Village","Josh","January 02 2019","Charming East Village One Bedroom Flat","Entire home/apt"
"59","18152","200 dollars","Manhattan, Upper East Side","Victoria","July 09 2019","Manhattan Room","Private room"
"60","18198","70 dollars","Queens, Woodside","Justin","May 31 2019","Little King of Queens","Private room"
"61","18590","95 dollars","Brooklyn, Fort Greene","Blaise","June 16 2019","Fort Greene Retreat on the Park","Private room"
"62","18728","150 dollars","Manhattan, Chelsea","DAVID And RICK","May 28 2019","Beautiful Meatpacking District Loft","Private room"
"63","18764","145 dollars","Brooklyn, Williamsburg","Lulú","April 22 2019","Cozy 2 BR in Williamsburg","private room"
"64","19159","110 dollars","Manhattan, Harlem","Sybilla","March 23 2019","Spacious luminous apt Upper West NYC","Entire home/apt"
"65","19169","285 dollars","Manhattan, Lower East Side","JoLynn","June 30 2019","Entire 2 Bedroom - Large & Sunny","Entire home/apt"
"66","19282","130 dollars","Brooklyn, Flatbush","Gaia","June 15 2019","Sunny, Spacious Top Floor Haven","Entire home/apt"
"67","19319","94 dollars","Manhattan, Lower East Side","Ana","April 08 2019","Private room Great Deal at Lower East Side","Private room"
"68","20299","60 dollars","Manhattan, East Village","Edward","June 30 2019","Oh glorious spring!","Private room"
"69","20611","85 dollars","Brooklyn, Williamsburg","Lulú","June 22 2019","Cozy Bedroom in Williamsburg 3 BR","Private room"
"70","20724","65 dollars","Brooklyn, Bushwick","Augustin","May 26 2019","Sunny room+Pvte office in huge loft","Private room"
"71","20734","131 dollars","Brooklyn, Prospect Heights","Sean & Lynette","June 27 2019","Spacious Prospect Heights Apartment","Entire home/apt"
"72","20755","98 dollars","Brooklyn, Clinton Hill","Erica","May 31 2019","Large Parlor Room, Landmark Home 1 block to PRATT","private room"
"73","20853","250 dollars","Brooklyn, Prospect Heights","Tracy","May 21 2019","2-bed brownstone duplex + garden","Entire home/apt"
"74","21293","105 dollars","Brooklyn, Bushwick","Tyrome","June 18 2019","Sunny Apartment in Artist Home","ENTIRE HOME/APT"
"75","21456","140 dollars","Manhattan, Upper West Side","Dana","July 07 2019","Light-filled classic Central Park","ENTIRE HOME/APT"
"76","21794","98 dollars","Manhattan, Chelsea","Olan","May 01 2019","COZY QUIET room 4 DOOGLERS!","private room"
"77","22918","60 dollars","Manhattan, Harlem","Ssameer Or Trip","January 03 2019","loft bed - near transportation-15min to times sq","Private room"
"78","23135","175 dollars","Brooklyn, Carroll Gardens","Annette","June 24 2019","House On Henry (3rd FLR Suite)","Entire home/apt"
"79","23686","500 dollars","Manhattan, West Village","Ann","May 18 2019","2000 SF 3br 2bath West Village private  townhouse","Entire home/apt"
"80","24143","101 dollars","Brooklyn, Williamsburg","Seth","May 29 2019","Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony","private room"
"81","25235","125 dollars","Brooklyn, Bedford-Stuyvesant","Shelly","June 28 2019","Large 2 Bedroom Great for Groups!","Entire home/apt"
"82","25696","100 dollars","Manhattan, Harlem","Dena","June 23 2019","1,800 sq foot in luxury building","Private room"
"83","26362","59 dollars","Manhattan, Hell's Kitchen","Luiz","June 16 2019","Times Square, Safe, Clean and Cozy!","Private room"
"84","26520","125 dollars","Brooklyn, Clinton Hill","Erica","June 02 2019","Cozy Room #3, Landmark Home 1 Block to PRATT","Private room"
"85","26969","325 dollars","Brooklyn, Williamsburg","Alexandra","June 23 2019","2 story family home in Williamsburg","Entire home/apt"
"86","27006","235 dollars","Manhattan, Upper West Side","Stacy","April 27 2019","Comfortable UWS 2-BD Family-Friendly Brownstone","Entire home/apt"
"87","27385","225 dollars","Manhattan, East Village","Bruce","June 07 2019","Great Large 1 BR apt  in East Village!","Entire home/apt"
"88","27531","99 dollars","Brooklyn, South Slope","Evelyn","May 20 2019","Eveland Private Bed & Living Room w/ Own Entrance","private room"
"89","27644","170 dollars","Manhattan, Harlem","Emma","July 01 2019","Sugar Hill Rest Stop","Entire home/apt"
"90","27759","170 dollars","Manhattan, Upper West Side","Sylvie","June 26 2019","apartment next to Central park","entire home/apt"
"91","29013","70 dollars","Brooklyn, Bedford-Stuyvesant","Angela","May 14 2019","B & B Room 1","Private room"
"92","29455","120 dollars","Manhattan, Harlem","Laurine","June 20 2019","ACCOMMODATIONS GALORE #1","entire home/apt"
"93","29628","89 dollars","Brooklyn, Clinton Hill","Chris","July 03 2019","Sunny Room in New Condo","Private room"
"94","29683","185 dollars","Manhattan, East Village","Uli","June 25 2019","Stylish & Sleek Apartment Near SoHo!","entire home/apt"
"95","30031","50 dollars","Brooklyn, Greenpoint","Sol","May 20 2019","NYC artists‚Äô loft with roof deck","private room"
"96","30927","105 dollars","Manhattan, Lower East Side","Cs","June 14 2019","Unique & Charming small 1br Apt. LES","Entire home/apt"
"97","31130","130 dollars","Manhattan, Hell's Kitchen","Lara","May 26 2019","Most Central Location!","Private room"
"98","31555","115 dollars","Manhattan, West Village","Tom","July 01 2019","Luminous Beautiful West Village Studio","Entire home/apt"
"99","31902","77 dollars","Brooklyn, Flatlands","Sunder","January 01 2019","Sanctuary in East Flatbush","Private room"
"100","31994","76 dollars","Brooklyn, Clinton Hill","Waldemar","June 24 2019","Room with En Suite Bathroom & Deck","Private room"
"101","32023","125 dollars","Brooklyn, Bedford-Stuyvesant","Khem","June 23 2019","FLAT MACDONOUGH","Entire home/apt"
"102","32037","135 dollars","Brooklyn, Clinton Hill","Sahr","July 01 2019","Huge Private  Floor at The Waverly","Private room"
"103","32965","115 dollars","Brooklyn, Bedford-Stuyvesant","Khem","June 20 2019","FLAT MACDONOUGH GARDEN","ENTIRE HOME/APT"
"104","32969","160 dollars","Brooklyn, Williamsburg","Katherine","July 02 2019","Light filled Williamsburg Apartment","Entire home/apt"
"105","33009","195 dollars","Brooklyn, Williamsburg","Ming","June 17 2019","Retreat in Williamsburg","Entire home/apt"
"106","33014","195 dollars","Manhattan, East Village","Paula","June 17 2019","NYC Zen","Entire home/apt"
"107","33223","80 dollars","Brooklyn, Williamsburg","Lulú","June 22 2019","Cozy BR in Wiliamsburg 3 Bedroom","private room"
"108","34760","44 dollars","Brooklyn, Fort Greene","Obed","June 29 2019","Sunny Room in Old Historical Brooklyn Townhouse","Private room"
"109","35526","156 dollars","Manhattan, West Village","Karen","June 22 2019","Sun Filled Classic West Village Apt","Private room"
"110","36133","125 dollars","Brooklyn, Williamsburg","White","June 13 2019","Classic Artist Loft Williamsburg","Private room"
"111","36703","225 dollars","Manhattan, West Village","Karene","March 31 2019","Sunny, clean 1 bdrm in W. Village","ENTIRE HOME/APT"
"112","38638","219 dollars","Manhattan, Upper East Side","Sara","June 26 2019","Light and Airy Upper East Side 1 BDR apartment","entire home/apt"
"113","39267","99 dollars","Manhattan, Upper East Side","Marie","June 08 2019","CENTRAL PARK LOFT all for YOU","ENTIRE HOME/APT"
"114","39282","69 dollars","Brooklyn, Williamsburg","Gus","May 28 2019","Indie-Chic Share In Williamsburg","PRIVATE ROOM"
